#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca10_H7VMKALXX_combined_L3_1	150	916960	133527662	96.93	94.81	87.76




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca10_H7VMKALXX_combined_L3_1	458480	404476	88.2% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca10_H7VMKALXX_combined_L3_1	1988665	73553	0.05	8894	0.20	324382	0.58


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca10_H7VMKALXX_combined_L3_1	ABCA3-2	CG	78	2122	0.04
Ca10_H7VMKALXX_combined_L3_1	ABCA3-3	CG	670	7520	0.08
Ca10_H7VMKALXX_combined_L3_1	MET-1	CG	308	3068	0.09
Ca10_H7VMKALXX_combined_L3_1	MET-2	CG	86	1539	0.05
Ca10_H7VMKALXX_combined_L3_1	CBL-2	CG	2113	4464	0.32
Ca10_H7VMKALXX_combined_L3_1	STK11	CG	15073	194157	0.07
Ca10_H7VMKALXX_combined_L3_1	ERCC1-2	CG	165	777	0.18
Ca10_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	719	6350	0.10
Ca10_H7VMKALXX_combined_L3_1	FGFR3-1	CG	158	35	0.82
Ca10_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	2382	1588	0.60
Ca10_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	316	1621	0.16
Ca10_H7VMKALXX_combined_L3_1	FGFR3-2	CG	172	5804	0.03
Ca10_H7VMKALXX_combined_L3_1	KEAP1-1	CG	612	636	0.49
Ca10_H7VMKALXX_combined_L3_1	KEAP1-2	CG	1883	641	0.75
Ca10_H7VMKALXX_combined_L3_1	ARID2-1	CG	3218	127810	0.02
Ca10_H7VMKALXX_combined_L3_1	RB1	CG	3213	116619	0.03
Ca10_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	193	1389	0.12
Ca10_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	669	1858	0.26
Ca10_H7VMKALXX_combined_L3_1	RAB31-2	CG	132	406	0.25
Ca10_H7VMKALXX_combined_L3_1	RAB31-1	CG	1154	677	0.63
Ca10_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	127	203	0.38
Ca10_H7VMKALXX_combined_L3_1	FBXW7	CG	33	350	0.09
Ca10_H7VMKALXX_combined_L3_1	ARID1A-1	CG	16410	181872	0.08
Ca10_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	62	2115	0.03
Ca10_H7VMKALXX_combined_L3_1	CBL-1	CG	23783	245580	0.09
Ca10_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	75	667	0.10
Ca10_H7VMKALXX_combined_L3_1	DAB2IP	CG	3707	3775	0.50
Ca10_H7VMKALXX_combined_L3_1	EP300-2	CG	375	3235	0.10
Ca10_H7VMKALXX_combined_L3_1	ERBB2-2	CG	642	3529	0.15
Ca10_H7VMKALXX_combined_L3_1	ARID2-2	CG	36	144	0.20
Ca10_H7VMKALXX_combined_L3_1	ERBB2-1	CG	352	5963	0.06
Ca10_H7VMKALXX_combined_L3_1	EGFR-1	CG	89	2232	0.04
Ca10_H7VMKALXX_combined_L3_1	EGFR-2	CG	1952	6633	0.23
Ca10_H7VMKALXX_combined_L3_1	ERCC1-1	CG	212	790	0.21
Ca10_H7VMKALXX_combined_L3_1	NOTCH2	CG	5832	81523	0.07
Ca10_H7VMKALXX_combined_L3_1	NOTCH3	CG	1197	2068	0.37
Ca10_H7VMKALXX_combined_L3_1	PTEN	CG	197	452	0.30
Ca10_H7VMKALXX_combined_L3_1	EP300-1	CG	63	1821	0.03
Ca10_H7VMKALXX_combined_L3_1	ERCC2-2	CG	99	466	0.18
Ca10_H7VMKALXX_combined_L3_1	ERCC2-1	CG	94	500	0.16
Ca10_H7VMKALXX_combined_L3_1	PRDM14-3	CG	729	4580	0.14
Ca10_H7VMKALXX_combined_L3_1	PRDM14-2	CG	468	4130	0.10
Ca10_H7VMKALXX_combined_L3_1	PRDM14-1	CG	2141	1004	0.68
Ca10_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	35	1762	0.02
Ca10_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	198	6387	0.03
Ca10_H7VMKALXX_combined_L3_1	MET-1	CHG	58	5	0.92
Ca10_H7VMKALXX_combined_L3_1	STK11	CHG	7619	3130	0.71
Ca10_H7VMKALXX_combined_L3_1	NOTCH2	CHG	1816	1421	0.56
Ca10_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	72	46	0.61
Ca10_H7VMKALXX_combined_L3_1	FGFR3-1	CHG	51	53	0.49
Ca10_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	337	155	0.68
Ca10_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	139	36	0.79
Ca10_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	199	64	0.76
Ca10_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	993	219	0.82
Ca10_H7VMKALXX_combined_L3_1	ARID2-1	CHG	166	77	0.68
Ca10_H7VMKALXX_combined_L3_1	RB1	CHG	123	94	0.57
Ca10_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	52	49	0.51
Ca10_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	286	266	0.52
Ca10_H7VMKALXX_combined_L3_1	RAB31-2	CHG	24	697	0.03
Ca10_H7VMKALXX_combined_L3_1	RAB31-1	CHG	71	1789	0.04
Ca10_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	4113	1832	0.69
Ca10_H7VMKALXX_combined_L3_1	CBL-2	CHG	933	729	0.56
Ca10_H7VMKALXX_combined_L3_1	CBL-1	CHG	4922	2884	0.63
Ca10_H7VMKALXX_combined_L3_1	DAB2IP	CHG	207	6919	0.03
Ca10_H7VMKALXX_combined_L3_1	EP300-2	CHG	150	99	0.60
Ca10_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	82	61	0.57
