#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T12_H7VMKALXX_combined_L3_1	150	1560582	227132263	96.88	94.63	87.41




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T12_H7VMKALXX_combined_L3_1	780291	697036	89.3% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T12_H7VMKALXX_combined_L3_1	4031638	136009	0.04	13092	0.15	486023	0.54


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T12_H7VMKALXX_combined_L3_1	ABCA3-2	CG	329	6922	0.05
T12_H7VMKALXX_combined_L3_1	ABCA3-3	CG	1407	15399	0.08
T12_H7VMKALXX_combined_L3_1	MET-1	CG	1140	8648	0.12
T12_H7VMKALXX_combined_L3_1	MET-2	CG	617	6484	0.09
T12_H7VMKALXX_combined_L3_1	STK11	CG	23640	365583	0.06
T12_H7VMKALXX_combined_L3_1	ARID2-2	CG	71	245	0.22
T12_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	4631	3102	0.60
T12_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	1187	9305	0.11
T12_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	966	4500	0.18
T12_H7VMKALXX_combined_L3_1	FGFR3-2	CG	517	8753	0.06
T12_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1890	1450	0.57
T12_H7VMKALXX_combined_L3_1	KEAP1-2	CG	4830	2091	0.70
T12_H7VMKALXX_combined_L3_1	ARID2-1	CG	4851	175914	0.03
T12_H7VMKALXX_combined_L3_1	RB1	CG	23601	758913	0.03
T12_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	604	2892	0.17
T12_H7VMKALXX_combined_L3_1	CBL-2	CG	2337	4934	0.32
T12_H7VMKALXX_combined_L3_1	RAB31-1	CG	689	2942	0.19
T12_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	341	440	0.44
T12_H7VMKALXX_combined_L3_1	FBXW7	CG	256	1096	0.19
T12_H7VMKALXX_combined_L3_1	ARID1A-2	CG	88	56	0.61
T12_H7VMKALXX_combined_L3_1	ARID1A-1	CG	17138	269733	0.06
T12_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	184	3144	0.06
T12_H7VMKALXX_combined_L3_1	CBL-1	CG	34910	369269	0.09
T12_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	2056	4437	0.32
T12_H7VMKALXX_combined_L3_1	DAB2IP	CG	2427	8486	0.22
T12_H7VMKALXX_combined_L3_1	EP300-2	CG	1080	4336	0.20
T12_H7VMKALXX_combined_L3_1	ERCC1-2	CG	450	1208	0.27
T12_H7VMKALXX_combined_L3_1	EP300-1	CG	155	2665	0.05
T12_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	357	1754	0.17
T12_H7VMKALXX_combined_L3_1	ERBB2-1	CG	848	8982	0.09
T12_H7VMKALXX_combined_L3_1	EGFR-1	CG	219	2899	0.07
T12_H7VMKALXX_combined_L3_1	EGFR-2	CG	3208	10053	0.24
