#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T14_H7NMYALXX_combined_L1_1	150	1957552	280209643	95.07	91.83	81.55




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T14_H7NMYALXX_combined_L1_1	978776	31173	3.2% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T14_H7NMYALXX_combined_L1_1	1156211	35226	0.41	11106	0.27	566464	0.55


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T14_H7NMYALXX_combined_L1_1	MET-2	CG	72	40	0.64
T14_H7NMYALXX_combined_L1_1	ERCC1-2	CG	682	390	0.64
T14_H7NMYALXX_combined_L1_1	PIK3CA-1	CG	4515	2541	0.64
T14_H7NMYALXX_combined_L1_1	KEAP1-1	CG	34631	30474	0.53
T14_H7NMYALXX_combined_L1_1	KEAP1-2	CG	646	283	0.70
T14_H7NMYALXX_combined_L1_1	ARID2-1	CG	5	15	0.25
T14_H7NMYALXX_combined_L1_1	ARID2-2	CG	275	53	0.84
T14_H7NMYALXX_combined_L1_1	MAP2K1-2	CG	864	1277	0.40
T14_H7NMYALXX_combined_L1_1	RAB31-1	CG	49	52	0.49
T14_H7NMYALXX_combined_L1_1	MAP2K1-1	CG	2577	2600	0.50
T14_H7NMYALXX_combined_L1_1	FBXW7	CG	489	727	0.40
T14_H7NMYALXX_combined_L1_1	ARID1A-1	CG	91	69	0.57
T14_H7NMYALXX_combined_L1_1	CBL-2	CG	24	321	0.07
T14_H7NMYALXX_combined_L1_1	CBL-1	CG	266	11542	0.02
T14_H7NMYALXX_combined_L1_1	CTNNB1-2	CG	109	164	0.40
T14_H7NMYALXX_combined_L1_1	EP300-1	CG	3024	1243	0.71
T14_H7NMYALXX_combined_L1_1	ERCC1-1	CG	428	527	0.45
T14_H7NMYALXX_combined_L1_1	NOTCH2	CG	1238	743	0.62
T14_H7NMYALXX_combined_L1_1	NOTCH3	CG	15	5	0.75
T14_H7NMYALXX_combined_L1_1	ERBB2-2	CG	342	163	0.68
T14_H7NMYALXX_combined_L1_1	ERCC2-2	CG	1161	276	0.81
T14_H7NMYALXX_combined_L1_1	ERCC2-1	CG	869	25832	0.03
T14_H7NMYALXX_combined_L1_1	PRDM14-3	CG	10885	9778	0.53
T14_H7NMYALXX_combined_L1_1	ABCA3-1	CHG	5	6	0.45
T14_H7NMYALXX_combined_L1_1	ARID1A-1	CHG	52	35	0.60
T14_H7NMYALXX_combined_L1_1	ERCC2-2	CHG	314	125	0.72
T14_H7NMYALXX_combined_L1_1	KEAP1-1	CHG	11828	2950	0.80
T14_H7NMYALXX_combined_L1_1	MET-2	CHG	4	7	0.36
T14_H7NMYALXX_combined_L1_1	CBL-2	CHG	20	239	0.08
T14_H7NMYALXX_combined_L1_1	CBL-1	CHG	156	10650	0.01
T14_H7NMYALXX_combined_L1_1	ERCC1-1	CHG	488	183	0.73
T14_H7NMYALXX_combined_L1_1	NOTCH2	CHG	706	254	0.74
T14_H7NMYALXX_combined_L1_1	NOTCH3	CHG	8	2	0.80
T14_H7NMYALXX_combined_L1_1	EP300-1	CHG	1262	970	0.57
T14_H7NMYALXX_combined_L1_1	ERBB2-2	CHG	50	55	0.48
T14_H7NMYALXX_combined_L1_1	ERCC1-2	CHG	237	260	0.48
T14_H7NMYALXX_combined_L1_1	ERCC2-1	CHG	129	4683	0.03
T14_H7NMYALXX_combined_L1_1	CTNNB1-2	CHG	70	92	0.43
