#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T3_H7VMKALXX_combined_L3_1	150	1350468	196597842	96.91	94.87	87.87




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T3_H7VMKALXX_combined_L3_1	675234	599439	88.8% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T3_H7VMKALXX_combined_L3_1	4145639	159481	0.05	13326	0.23	492936	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T3_H7VMKALXX_combined_L3_1	ABCA3-2	CG	127	2574	0.05
T3_H7VMKALXX_combined_L3_1	ABCA3-3	CG	755	6160	0.11
T3_H7VMKALXX_combined_L3_1	MET-1	CG	909	8643	0.10
T3_H7VMKALXX_combined_L3_1	MET-2	CG	436	4849	0.08
T3_H7VMKALXX_combined_L3_1	STK11	CG	24845	209174	0.11
T3_H7VMKALXX_combined_L3_1	ERCC1-2	CG	544	2666	0.17
T3_H7VMKALXX_combined_L3_1	PIK3CA-1	CG	843	7070	0.11
T3_H7VMKALXX_combined_L3_1	NFE2L2-1	CG	2689	2189	0.55
T3_H7VMKALXX_combined_L3_1	FGFR3-2	CG	337	6506	0.05
T3_H7VMKALXX_combined_L3_1	PIK3CA-2	CG	333	1932	0.15
T3_H7VMKALXX_combined_L3_1	KEAP1-1	CG	1042	1184	0.47
T3_H7VMKALXX_combined_L3_1	KEAP1-2	CG	2082	790	0.72
T3_H7VMKALXX_combined_L3_1	ARID2-1	CG	7069	209253	0.03
T3_H7VMKALXX_combined_L3_1	RB1	CG	31697	913346	0.03
T3_H7VMKALXX_combined_L3_1	CTNNB1-1	CG	433	2508	0.15
T3_H7VMKALXX_combined_L3_1	CBL-2	CG	2645	7395	0.26
T3_H7VMKALXX_combined_L3_1	RAB31-2	CG	57	386	0.13
T3_H7VMKALXX_combined_L3_1	RAB31-1	CG	854	3228	0.21
T3_H7VMKALXX_combined_L3_1	MAP2K1-1	CG	207	132	0.61
T3_H7VMKALXX_combined_L3_1	FBXW7	CG	192	934	0.17
T3_H7VMKALXX_combined_L3_1	ARID1A-2	CG	8	177	0.04
T3_H7VMKALXX_combined_L3_1	ARID1A-1	CG	23435	342501	0.06
T3_H7VMKALXX_combined_L3_1	MAP2K1-2	CG	137	2795	0.05
T3_H7VMKALXX_combined_L3_1	CBL-1	CG	52269	514219	0.09
T3_H7VMKALXX_combined_L3_1	CTNNB1-2	CG	959	2974	0.24
T3_H7VMKALXX_combined_L3_1	DAB2IP	CG	2934	6297	0.32
T3_H7VMKALXX_combined_L3_1	EP300-2	CG	1058	5235	0.17
T3_H7VMKALXX_combined_L3_1	EP300-1	CG	249	2877	0.08
T3_H7VMKALXX_combined_L3_1	ARID2-2	CG	92	318	0.22
T3_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	194	1277	0.13
T3_H7VMKALXX_combined_L3_1	ERBB2-1	CG	747	6368	0.10
T3_H7VMKALXX_combined_L3_1	EGFR-1	CG	271	4220	0.06
T3_H7VMKALXX_combined_L3_1	EGFR-2	CG	2266	7490	0.23
T3_H7VMKALXX_combined_L3_1	ERCC1-1	CG	942	1318	0.42
T3_H7VMKALXX_combined_L3_1	NOTCH2	CG	8218	124381	0.06
T3_H7VMKALXX_combined_L3_1	NOTCH3	CG	1433	2249	0.39
T3_H7VMKALXX_combined_L3_1	PTEN	CG	722	1229	0.37
T3_H7VMKALXX_combined_L3_1	ERBB2-2	CG	2135	5659	0.27
T3_H7VMKALXX_combined_L3_1	ERCC2-2	CG	58	177	0.25
T3_H7VMKALXX_combined_L3_1	ERCC2-1	CG	436	935	0.32
T3_H7VMKALXX_combined_L3_1	PRDM14-3	CG	531	4527	0.10
T3_H7VMKALXX_combined_L3_1	PRDM14-2	CG	260	3538	0.07
T3_H7VMKALXX_combined_L3_1	PRDM14-1	CG	713	2472	0.22
T3_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	54	2122	0.02
T3_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	127	5460	0.02
T3_H7VMKALXX_combined_L3_1	MET-1	CHG	130	7	0.95
T3_H7VMKALXX_combined_L3_1	MET-2	CHG	17	17	0.50
T3_H7VMKALXX_combined_L3_1	STK11	CHG	12815	6682	0.66
T3_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	113	119	0.49
T3_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	60	38	0.61
T3_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	396	170	0.70
T3_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	30	20	0.60
T3_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	121	42	0.74
T3_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	335	94	0.78
T3_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	1192	228	0.84
T3_H7VMKALXX_combined_L3_1	ARID2-1	CHG	233	92	0.72
T3_H7VMKALXX_combined_L3_1	RB1	CHG	76	82	0.48
T3_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	103	47	0.69
T3_H7VMKALXX_combined_L3_1	CBL-2	CHG	1015	633	0.62
